Time Stamp ((UTC-08:00) Pacific Time (US & Canada)) 	Humidity 	Temperature
1/1/2018 0:00 	0.553 	5.095
1/1/2018 0:10 	0.563 	5.202
1/1/2018 0:20 	0.559 	5.29
1/1/2018 0:30 	0.559 	5.334
1/1/2018 0:40 	0.562 	5.303
1/1/2018 0:50 	0.556 	5.368
1/1/2018 1:00 	0.556 	5.419
1/1/2018 1:10 	0.559 	5.554
1/1/2018 1:20 	0.562 	5.679
1/1/2018 1:30 	0.559 	5.774
1/1/2018 1:40 	0.556 	5.85
1/1/2018 1:50 	0.562 	5.842
1/1/2018 2:00 	0.562 	5.716
1/1/2018 2:10 	0.562 	5.807
1/1/2018 2:20 	0.562 	5.736
1/1/2018 2:30 	0.556 	5.724
1/1/2018 2:40 	0.559 	5.746
1/1/2018 2:50 	0.552 	5.75
1/1/2018 3:00 	0.559 	5.771
1/1/2018 3:10 	0.559 	5.639